,user_id,order_id,order_date,booking_date,order_status,device_id,dport,aport,dport_city,aport_city,dcity_code,acity_code,flight_time,flight_number,flight_date,flight_num_date,browsing_time
10,M3037584278,D00000043,2022/1/2 2:22,2022/1/2 0:00,S,cv5c4-ax2ey-thk2y-9fkaa-zsko2,PEK,SYX,北京,三亚,BJS,SYX,2022/1/1 14:35,CA1345,2022/1/1,CA1345_2022-01-01,127
11,M4366894685,D00000071,2022/1/2 16:53,2022/1/2 0:00,R,tmcju-f7bfz-wruk5-hm1t9-2aqfa,PEK,SYX,北京,三亚,BJS,SYX,2022/1/1 14:35,CA1345,2022/1/1,CA1345_2022-01-01,75
12,M2815514910,D00000081,2022/1/2 20:23,2022/1/2 0:00,S,dy7n9-uqr3b-xbdn7-u7ulz-163jb,PEK,SYX,北京,三亚,BJS,SYX,2022/1/1 14:35,CA1345,2022/1/1,CA1345_2022-01-01,121
13,M3089682252,D00000025,2022/1/1 14:38,2022/1/1 0:00,S,bx5sl-9exne-hx03d-2n42x-m16e4,PEK,SYX,北京,三亚,BJS,SYX,2022/1/1 14:35,CA1345,2022/1/1,CA1345_2022-01-01,102
14,M4915889067,D00000062,2022/1/2 14:17,2022/1/2 0:00,S,taw8e-7r231-v0yf8-4l4ch-v9myy,PEK,SYX,北京,三亚,BJS,SYX,2022/1/1 14:35,CA1345,2022/1/1,CA1345_2022-01-01,75
15,M3941934576,D00000085,2022/1/3 2:06,2022/1/3 0:00,S,5cpuy-ukvzv-5yyfn-bc05z-8t5ia,PEK,SYX,北京,三亚,BJS,SYX,2022/1/1 14:35,CA1345,2022/1/1,CA1345_2022-01-01,119
16,M324367708,D00000059,2022/1/2 13:00,2022/1/2 0:00,S,fwxid-4kqox-o2etl-wg3u1-1irxf,PEK,SYX,北京,三亚,BJS,SYX,2022/1/1 14:35,CA1345,2022/1/1,CA1345_2022-01-01,96
17,M3546907676,D00000066,2022/1/2 15:05,2022/1/2 0:00,S,vhlh2-mjztt-9kij6-eikq2-eo0ny,PEK,SYX,北京,三亚,BJS,SYX,2022/1/1 14:35,CA1345,2022/1/1,CA1345_2022-01-01,81
18,M308283236,D00000067,2022/1/2 15:19,2022/1/2 0:00,S,vqsmx-06439-n8bgj-hn0q4-wnkyi,PEK,SYX,北京,三亚,BJS,SYX,2022/1/1 14:35,CA1345,2022/1/1,CA1345_2022-01-01,32
19,M4983630689,D00000029,2022/1/1 17:35,2022/1/1 0:00,S,e4gb7-ahya7-hxjba-gsjuk-zsq1y,PEK,SYX,北京,三亚,BJS,SYX,2022/1/1 14:35,CA1345,2022/1/1,CA1345_2022-01-01,79
20,M2451903006,D00000065,2022/1/2 15:04,2022/1/2 0:00,S,aik5v-nxxe9-8m17b-ktx45-jex1h,PEK,SYX,北京,三亚,BJS,SYX,2022/1/1 14:35,CA1345,2022/1/1,CA1345_2022-01-01,105
21,M2509261141,D00000044,2022/1/2 8:47,2022/1/2 0:00,S,lhjh9-28wn9-tooyp-zgwui-gifbq,PEK,SYX,北京,三亚,BJS,SYX,2022/1/1 14:35,CA1345,2022/1/1,CA1345_2022-01-01,103
22,M112688952,D00000028,2022/1/1 16:39,2022/1/1 0:00,S,0mef2-rkuhc-uwv8e-p45ci-q83wo,PEK,SYX,北京,三亚,BJS,SYX,2022/1/1 14:35,CA1345,2022/1/1,CA1345_2022-01-01,115
23,M343689102,D00000072,2022/1/2 16:54,2022/1/2 0:00,S,a4d51-xwtjp-38zvd-riu4k-zzg3k,PEK,SYX,北京,三亚,BJS,SYX,2022/1/1 14:35,CA1345,2022/1/1,CA1345_2022-01-01,122
24,M405775034,D00000018,2022/1/1 11:07,2022/1/1 0:00,S,b7wg7-ydgkh-49bm8-53s71-wjk9c,PEK,SYX,北京,三亚,BJS,SYX,2022/1/1 14:35,CA1345,2022/1/1,CA1345_2022-01-01,48
25,M2709084070,D00000090,2022/1/3 9:36,2022/1/3 0:00,S,um0x8-vklgq-xcgve-i8b8h-94jgg,PEK,SYX,北京,三亚,BJS,SYX,2022/1/1 14:35,CA1345,2022/1/1,CA1345_2022-01-01,81
26,M3023559999,D00000020,2022/1/1 12:19,2022/1/1 0:00,S,dv0zb-olxr9-biea8-ftiot-81suy,PEK,SYX,北京,三亚,BJS,SYX,2022/1/1 14:35,CA1345,2022/1/1,CA1345_2022-01-01,56
27,M4425603552,D00000038,2022/1/1 20:39,2022/1/1 0:00,S,hxmsy-5upge-w7vpu-0biw2-uipo3,PEK,SYX,北京,三亚,BJS,SYX,2022/1/1 14:35,CA1345,2022/1/1,CA1345_2022-01-01,78
28,M2632122137,D00000088,2022/1/3 9:20,2022/1/3 0:00,S,ar5tg-wxiho-kqedr-xgc8h-v79hw,PEK,SYX,北京,三亚,BJS,SYX,2022/1/1 14:35,CA1345,2022/1/1,CA1345_2022-01-01,60
29,M4776057577,D00000050,2022/1/2 10:59,2022/1/2 0:00,S,4y3h0-iyad7-xjaea-s3up3-eiff9,PEK,SYX,北京,三亚,BJS,SYX,2022/1/1 14:35,CA1345,2022/1/1,CA1345_2022-01-01,105
30,M4790653723,D00000019,2022/1/1 11:19,2022/1/1 0:00,S,0yhy0-46axu-c74ek-phj77-0uojl,PEK,SYX,北京,三亚,BJS,SYX,2022/1/1 14:35,CA1345,2022/1/1,CA1345_2022-01-01,113
31,M4127113151,D00000073,2022/1/2 17:07,2022/1/2 0:00,S,o2gho-xdaeb-dzcs8-3szb4-fs5vi,PEK,SYX,北京,三亚,BJS,SYX,2022/1/1 14:35,CA1345,2022/1/1,CA1345_2022-01-01,120
32,M2494321807,D00000077,2022/1/2 18:58,2022/1/2 0:00,S,exboa-qgdv6-nsd0c-6utjz-m7afk,PEK,SYX,北京,三亚,BJS,SYX,2022/1/1 14:35,CA1345,2022/1/1,CA1345_2022-01-01,47
33,M404672040,D00000108,2022/1/3 15:01,2022/1/3 0:00,S,4oo50-zv0jl-vxmuv-inxbv-txrjx,PEK,SYX,北京,三亚,BJS,SYX,2022/1/1 14:35,CA1345,2022/1/1,CA1345_2022-01-01,135
34,M132736938,D00000086,2022/1/3 8:05,2022/1/3 0:00,S,02xp0-2chjg-qzyf1-rbu0c-yip8n,PEK,SYX,北京,三亚,BJS,SYX,2022/1/1 14:35,CA1345,2022/1/1,CA1345_2022-01-01,135
35,M349489075,D00000133,2022/1/4 10:23,2022/1/4 0:00,S,rws68-w9xmw-56vtk-25v96-tfvjo,PEK,SYX,北京,三亚,BJS,SYX,2022/1/1 14:35,CA1345,2022/1/1,CA1345_2022-01-01,111
36,M3971845467,D00000123,2022/1/3 21:22,2022/1/3 0:00,S,4obhy-az0gd-g9itp-e8urr-xjkh0,PEK,SYX,北京,三亚,BJS,SYX,2022/1/1 14:35,CA1345,2022/1/1,CA1345_2022-01-01,113
37,M584295465,D00000138,2022/1/4 10:58,2022/1/4 0:00,S,2cm3j-4e498-z8ntn-9yqv6-fezcx,PEK,SYX,北京,三亚,BJS,SYX,2022/1/1 14:35,CA1345,2022/1/1,CA1345_2022-01-01,97
38,M599376316,D00000155,2022/1/4 15:36,2022/1/4 0:00,S,7ydfp-6a936-klsod-9ykcc-v5l88,PEK,SYX,北京,三亚,BJS,SYX,2022/1/1 14:35,CA1345,2022/1/1,CA1345_2022-01-01,100
39,M03580415,D00000124,2022/1/3 21:43,2022/1/3 0:00,S,79lm9-ekfvp-z00pt-lxdj4-ktdut,PEK,SYX,北京,三亚,BJS,SYX,2022/1/1 14:35,CA1345,2022/1/1,CA1345_2022-01-01,124
40,M162285938,D00000110,2022/1/3 16:13,2022/1/3 0:00,S,cyy2s-iru2o-peeij-r6ow3-2eti1,PEK,SYX,北京,三亚,BJS,SYX,2022/1/1 14:35,CA1345,2022/1/1,CA1345_2022-01-01,93
41,M4184930335,D00000122,2022/1/3 21:12,2022/1/3 0:00,R,4k7hc-usv8s-5jirh-m32qc-zgeg0,PEK,SYX,北京,三亚,BJS,SYX,2022/1/1 14:35,CA1345,2022/1/1,CA1345_2022-01-01,72
42,M4957332404,D00000119,2022/1/3 19:25,2022/1/3 0:00,S,houmh-vrd78-7cqey-9cw32-q645x,PEK,SYX,北京,三亚,BJS,SYX,2022/1/1 14:35,CA1345,2022/1/1,CA1345_2022-01-01,54
43,M4329888781,D00000156,2022/1/4 15:41,2022/1/4 0:00,S,u77l1-umr92-orkcx-he6ap-wv09s,PEK,SYX,北京,三亚,BJS,SYX,2022/1/1 14:35,CA1345,2022/1/1,CA1345_2022-01-01,119
44,M3402635295,D00000116,2022/1/3 18:29,2022/1/3 0:00,S,nj9ig-rm98r-wq333-033q5-esn9g,PEK,SYX,北京,三亚,BJS,SYX,2022/1/1 14:35,CA1345,2022/1/1,CA1345_2022-01-01,102
45,M155168461,D00000145,2022/1/4 13:06,2022/1/4 0:00,S,5f5rg-jojoi-up0oi-hvswk-b9oep,PEK,SYX,北京,三亚,BJS,SYX,2022/1/1 14:35,CA1345,2022/1/1,CA1345_2022-01-01,126
46,M154973544,D00000069,2022/1/2 15:44,2022/1/2 0:00,S,0j3q1-ao3up-335fk-r0v4y-nafq7,PEK,SYX,北京,三亚,BJS,SYX,2022/1/1 14:35,CA1345,2022/1/1,CA1345_2022-01-01,112
47,M2265365922,D00000170,2022/1/4 21:19,2022/1/4 0:00,S,dbao6-tdopg-f3yzz-9gzui-4y3sm,PEK,SYX,北京,三亚,BJS,SYX,2022/1/1 14:35,CA1345,2022/1/1,CA1345_2022-01-01,84
48,M3610321628,D00000084,2022/1/2 22:26,2022/1/2 0:00,S,g0ofj-5xzha-mlclm-ebse8-f912e,PEK,SYX,北京,三亚,BJS,SYX,2022/1/1 14:35,CA1345,2022/1/1,CA1345_2022-01-01,118
49,M3010703303,D00000106,2022/1/3 14:49,2022/1/3 0:00,S,9oloj-pus7d-5m020-rwtwh-x66j7,PEK,SYX,北京,三亚,BJS,SYX,2022/1/1 14:35,CA1345,2022/1/1,CA1345_2022-01-01,100
50,M3005179365,D00000174,2022/1/4 23:23,2022/1/4 0:00,S,nhf5u-okpym-l11ec-gjple-q9s2n,PEK,SYX,北京,三亚,BJS,SYX,2022/1/1 14:35,CA1345,2022/1/1,CA1345_2022-01-01,82
51,M100712952,D00000121,2022/1/3 20:52,2022/1/3 0:00,S,96qzt-vniq9-8bzfe-trhwx-9jkiw,PEK,SYX,北京,三亚,BJS,SYX,2022/1/1 14:35,CA1345,2022/1/1,CA1345_2022-01-01,100
52,M4401028586,D00000107,2022/1/3 14:58,2022/1/3 0:00,S,r2jcd-uymwf-p9lof-pdt3x-32sgm,PEK,SYX,北京,三亚,BJS,SYX,2022/1/1 14:35,CA1345,2022/1/1,CA1345_2022-01-01,67
53,M3306383177,D00000160,2022/1/4 17:10,2022/1/4 0:00,R,j8ygy-wyi5z-nj84w-qqww0-16age,PEK,SYX,北京,三亚,BJS,SYX,2022/1/1 14:35,CA1345,2022/1/1,CA1345_2022-01-01,51
54,M340983966,D00000173,2022/1/4 22:29,2022/1/4 0:00,S,78yzx-w0w61-0wibq-247q3-6ss91,PEK,SYX,北京,三亚,BJS,SYX,2022/1/1 14:35,CA1345,2022/1/1,CA1345_2022-01-01,110
55,M290664901,D00000196,2022/1/5 15:51,2022/1/5 0:00,R,bgwo0-ue5kj-z4jyn-esvre-6mt7n,PEK,SYX,北京,三亚,BJS,SYX,2022/1/1 14:35,CA1345,2022/1/1,CA1345_2022-01-01,87
56,M499860808,D00000130,2022/1/4 9:20,2022/1/4 0:00,S,sgoz5-fqh65-ehszt-i5z4l-glo4u,PEK,SYX,北京,三亚,BJS,SYX,2022/1/1 14:35,CA1345,2022/1/1,CA1345_2022-01-01,123
57,M2399306142,D00000039,2022/1/1 21:05,2022/1/1 0:00,S,d3zd8-t3qz0-gvsi1-ovj7z-dvs6c,PEK,SYX,北京,三亚,BJS,SYX,2022/1/1 14:35,CA1345,2022/1/1,CA1345_2022-01-01,118
58,M4684723321,D00000115,2022/1/3 18:25,2022/1/3 0:00,S,mb9wc-mu3t0-pfpdy-b8i59-xzobd,PEK,SYX,北京,三亚,BJS,SYX,2022/1/1 14:35,CA1345,2022/1/1,CA1345_2022-01-01,35
59,M125128061,D00000158,2022/1/4 16:01,2022/1/4 0:00,S,35e7t-36kcs-35udo-vyewz-zhu9e,PEK,SYX,北京,三亚,BJS,SYX,2022/1/1 14:35,CA1345,2022/1/1,CA1345_2022-01-01,126
60,M4440360732,D00000179,2022/1/5 9:17,2022/1/5 0:00,S,y4who-5w96b-9k50n-p3svb-360r2,PEK,SYX,北京,三亚,BJS,SYX,2022/1/1 14:35,CA1345,2022/1/1,CA1345_2022-01-01,96
61,M2236019226,D00000168,2022/1/4 20:39,2022/1/4 0:00,S,juuqm-59d90-75jf4-zyyz6-bpn8c,PEK,SYX,北京,三亚,BJS,SYX,2022/1/1 14:35,CA1345,2022/1/1,CA1345_2022-01-01,51
62,M2466183983,D00000189,2022/1/5 12:55,2022/1/5 0:00,S,ii60g-nqvf7-7yhik-t1gm9-wkpe9,PEK,SYX,北京,三亚,BJS,SYX,2022/1/1 14:35,CA1345,2022/1/1,CA1345_2022-01-01,118
63,M4040791417,D00000175,2022/1/4 23:58,2022/1/4 0:00,S,s3r4h-cylqs-iuzgv-wio0v-x9v7v,PEK,SYX,北京,三亚,BJS,SYX,2022/1/1 14:35,CA1345,2022/1/1,CA1345_2022-01-01,92
64,M362528962,D00000135,2022/1/4 10:44,2022/1/4 0:00,S,oiy6q-6e9iq-5wxe9-71r5j-olr2j,PEK,SYX,北京,三亚,BJS,SYX,2022/1/1 14:35,CA1345,2022/1/1,CA1345_2022-01-01,118
65,M6879509586,D000002000,2022/1/4 10:44,2022/1/4 0:00,S,smxhz-zbcut-eha55-8m7s1-iztod,PEK,SYX,北京,三亚,BJS,SYX,2022/1/1 14:35,CA1345,2022/1/1,CA1345_2022-01-01,103
66,M3181774645,D00000165,2022/1/4 19:27,2022/1/4 0:00,S,mi7f5-ojurb-r678s-3frpz-gh5b1,WUX,ZHA,无锡,湛江,WUX,ZHA,2022/1/6 14:00,HO5894,2022/1/6,HO5894_2022-01-06,90
67,M4452047003,D00000131,2022/1/4 9:25,2022/1/4 0:00,S,td0x6-hiucq-bpvta-fhhf8-saw1p,WUX,ZHA,无锡,湛江,WUX,ZHA,2022/1/6 14:00,HO5894,2022/1/6,HO5894_2022-01-06,75
68,M2546463044,D00000132,2022/1/4 10:10,2022/1/4 0:00,S,kkahk-zor3j-hlf0l-hh6wb-bfpkg,WUX,ZHA,无锡,湛江,WUX,ZHA,2022/1/6 14:00,HO5894,2022/1/6,HO5894_2022-01-06,81
69,M4984419240,D00000167,2022/1/4 20:00,2022/1/4 0:00,R,sbpp1-iydln-z4ybk-nzqjw-i40du,WUX,ZHA,无锡,湛江,WUX,ZHA,2022/1/6 14:00,HO5894,2022/1/6,HO5894_2022-01-06,96
70,M3545770614,D00000042,2022/1/1 23:24,2022/1/1 0:00,S,aynrl-f57oj-zgmkl-7rcl0-seghi,WUX,ZHA,无锡,湛江,WUX,ZHA,2022/1/6 14:00,HO5894,2022/1/6,HO5894_2022-01-06,76
71,M2782795478,D00000143,2022/1/4 11:59,2022/1/4 0:00,S,l1cp1-4tazg-tbt5r-q4ava-rzbpx,WUX,ZHA,无锡,湛江,WUX,ZHA,2022/1/6 14:00,HO5894,2022/1/6,HO5894_2022-01-06,107
72,M2715458927,D00000227,2022/1/6 8:56,2022/1/6 0:00,S,ab9wo-lts18-o8mwh-5h0s2-38on4,WUX,ZHA,无锡,湛江,WUX,ZHA,2022/1/6 14:00,HO5894,2022/1/6,HO5894_2022-01-06,126
73,M4429565768,D00000182,2022/1/5 10:22,2022/1/5 0:00,S,kgzje-bdgee-oi9mm-o37ei-adje8,WUX,ZHA,无锡,湛江,WUX,ZHA,2022/1/6 14:00,HO5894,2022/1/6,HO5894_2022-01-06,69
74,M3166406215,D00000079,2022/1/2 19:55,2022/1/2 0:00,S,pclwj-s4mr2-p6npd-tcpgg-fjqq6,WUX,ZHA,无锡,湛江,WUX,ZHA,2022/1/6 14:00,HO5894,2022/1/6,HO5894_2022-01-06,91
75,M2222923339,D00000147,2022/1/4 13:37,2022/1/4 0:00,S,i8p5x-02dnn-6jzwm-3hyno-u6g63,WUX,ZHA,无锡,湛江,WUX,ZHA,2022/1/6 14:00,HO5894,2022/1/6,HO5894_2022-01-06,129
76,M2510615247,D00000076,2022/1/2 18:05,2022/1/2 0:00,S,0sr64-up7tk-z6drk-ojalx-cx8l1,WUX,ZHA,无锡,湛江,WUX,ZHA,2022/1/6 14:00,HO5894,2022/1/6,HO5894_2022-01-06,83
77,M4196475398,D00000032,2022/1/1 18:41,2022/1/1 0:00,S,6u8gw-wqdxa-68vfv-o7e42-ptg30,WUX,ZHA,无锡,湛江,WUX,ZHA,2022/1/6 14:00,HO5894,2022/1/6,HO5894_2022-01-06,92
78,M2341717823,D00000176,2022/1/5 8:04,2022/1/5 0:00,R,7dxel-kvtwc-qm8kx-x98ga-7bv2u,WUX,ZHA,无锡,湛江,WUX,ZHA,2022/1/6 14:00,HO5894,2022/1/6,HO5894_2022-01-06,94
79,M4310817791,D00000149,2022/1/4 14:27,2022/1/4 0:00,R,zlyb3-a2vqb-pjhsw-jw8lo-msnvt,WUX,ZHA,无锡,湛江,WUX,ZHA,2022/1/6 14:00,HO5894,2022/1/6,HO5894_2022-01-06,96
80,M244390572,D00000207,2022/1/5 17:32,2022/1/5 0:00,S,5nwcj-2ueji-q2arm-q0bqw-2p78t,WUX,ZHA,无锡,湛江,WUX,ZHA,2022/1/6 14:00,HO5894,2022/1/6,HO5894_2022-01-06,96
81,M65608115,D00000099,2022/1/3 11:54,2022/1/3 0:00,S,wt28g-75eue-llu7e-0j9rx-roc4m,WUX,ZHA,无锡,湛江,WUX,ZHA,2022/1/6 14:00,HO5894,2022/1/6,HO5894_2022-01-06,127
82,M441106397,D00000246,2022/1/6 17:00,2022/1/6 0:00,S,fh6mq-71k5l-iyyy7-y168r-0d19w,WUX,ZHA,无锡,湛江,WUX,ZHA,2022/1/6 14:00,HO5894,2022/1/6,HO5894_2022-01-06,75
83,M4412239551,D00000045,2022/1/2 9:45,2022/1/2 0:00,S,ypwrh-3ifan-w477z-dv99w-7fqua,WUX,ZHA,无锡,湛江,WUX,ZHA,2022/1/6 14:00,HO5894,2022/1/6,HO5894_2022-01-06,94
84,M238366427,D00000194,2022/1/5 15:37,2022/1/5 0:00,S,res1c-ep6cl-u1oog-ubu73-5dpl2,WUX,ZHA,无锡,湛江,WUX,ZHA,2022/1/6 14:00,HO5894,2022/1/6,HO5894_2022-01-06,114
85,M2505263505,D00000181,2022/1/5 10:10,2022/1/5 0:00,R,lj6hk-yfnga-66r62-rr0kr-7qm0x,WUX,ZHA,无锡,湛江,WUX,ZHA,2022/1/6 14:00,HO5894,2022/1/6,HO5894_2022-01-06,105
86,M2752861998,D00000164,2022/1/4 19:02,2022/1/4 0:00,S,8fsaz-jivve-e2og3-mf9om-hup7x,WUX,ZHA,无锡,湛江,WUX,ZHA,2022/1/6 14:00,HO5894,2022/1/6,HO5894_2022-01-06,70
87,M57012870,D00000035,2022/1/1 20:15,2022/1/1 0:00,R,0f2r6-m94l3-nfqcn-m5yjq-85hl8,WUX,ZHA,无锡,湛江,WUX,ZHA,2022/1/6 14:00,HO5894,2022/1/6,HO5894_2022-01-06,60
88,M138081634,D00000215,2022/1/5 19:29,2022/1/5 0:00,S,34dfi-qeg65-shkfy-fvne4-pttcj,WUX,ZHA,无锡,湛江,WUX,ZHA,2022/1/6 14:00,HO5894,2022/1/6,HO5894_2022-01-06,93
89,M353997544,D00000082,2022/1/2 21:34,2022/1/2 0:00,S,2ko95-hs10y-q1051-2naw2-4a07a,WUX,ZHA,无锡,湛江,WUX,ZHA,2022/1/6 14:00,HO5894,2022/1/6,HO5894_2022-01-06,38
90,M3169577837,D00000218,2022/1/5 20:22,2022/1/5 0:00,S,6pafp-ejuyd-6aoam-uluza-pups0,WUX,ZHA,无锡,湛江,WUX,ZHA,2022/1/6 14:00,HO5894,2022/1/6,HO5894_2022-01-06,78
91,M385040082,D00000185,2022/1/5 11:33,2022/1/5 0:00,S,pl9nb-kfici-a3r7p-2ta79-fprz7,WUX,ZHA,无锡,湛江,WUX,ZHA,2022/1/6 14:00,HO5894,2022/1/6,HO5894_2022-01-06,94
92,M3051198997,D00000163,2022/1/4 18:52,2022/1/4 0:00,S,2cwpn-01x1g-b3eam-an4q0-by01v,WUX,ZHA,无锡,湛江,WUX,ZHA,2022/1/6 14:00,HO5894,2022/1/6,HO5894_2022-01-06,94
93,M2959918416,D00000266,2022/1/7 7:27,2022/1/7 0:00,S,u0cmu-y96ap-78bfa-9og69-bw7g7,WUX,ZHA,无锡,湛江,WUX,ZHA,2022/1/6 14:00,HO5894,2022/1/6,HO5894_2022-01-06,103
94,M604586657,D00000230,2022/1/6 11:13,2022/1/6 0:00,S,6n5vx-um50l-luizw-81uxk-3sov0,WUX,ZHA,无锡,湛江,WUX,ZHA,2022/1/6 14:00,HO5894,2022/1/6,HO5894_2022-01-06,138
95,M610078485,D00000217,2022/1/5 20:03,2022/1/5 0:00,S,y7lnh-lwq9v-qz9ku-ptkvk-xcsj3,WUX,ZHA,无锡,湛江,WUX,ZHA,2022/1/6 14:00,HO5894,2022/1/6,HO5894_2022-01-06,100
96,M3050759965,D00000251,2022/1/6 18:40,2022/1/6 0:00,S,k3hyp-8zog7-9ks4n-5pz69-hskz3,WUX,ZHA,无锡,湛江,WUX,ZHA,2022/1/6 14:00,HO5894,2022/1/6,HO5894_2022-01-06,127
97,M2649975612,D00000284,2022/1/7 15:29,2022/1/7 0:00,S,by5yv-8ur8j-1jq1c-ifgm4-fsnwf,WUX,ZHA,无锡,湛江,WUX,ZHA,2022/1/6 14:00,HO5894,2022/1/6,HO5894_2022-01-06,87
98,M229090945,D00000291,2022/1/7 17:57,2022/1/7 0:00,S,9kzkl-ib1n6-lbyiu-ftqms-fmz9w,WUX,ZHA,无锡,湛江,WUX,ZHA,2022/1/6 14:00,HO5894,2022/1/6,HO5894_2022-01-06,90
99,M3866258819,D00000157,2022/1/4 15:58,2022/1/4 0:00,S,47gnk-exla0-um5jq-bshj8-m81gk,WUX,ZHA,无锡,湛江,WUX,ZHA,2022/1/6 14:00,HO5894,2022/1/6,HO5894_2022-01-06,118
100,M3505631664,D00000092,2022/1/3 10:04,2022/1/3 0:00,S,ewqt4-iwjt5-rnxow-4122s-l8ira,WUX,ZHA,无锡,湛江,WUX,ZHA,2022/1/6 14:00,HO5894,2022/1/6,HO5894_2022-01-06,77
101,M498276631,D00000171,2022/1/4 21:55,2022/1/4 0:00,S,yn4hz-8t9mf-5g0v9-v6a54-170yz,WUX,ZHA,无锡,湛江,WUX,ZHA,2022/1/6 14:00,HO5894,2022/1/6,HO5894_2022-01-06,92
102,M3571503353,D00000287,2022/1/7 16:36,2022/1/7 0:00,R,me3zz-ll0nc-ykbyn-9brmd-vgapo,WUX,ZHA,无锡,湛江,WUX,ZHA,2022/1/6 14:00,HO5894,2022/1/6,HO5894_2022-01-06,118
103,M4970905099,D00000008,2021/12/24 15:37,2021/12/24 0:00,S,ahit8-s4gbx-occ5r-zkp1y-6ywf6,WUX,ZHA,无锡,湛江,WUX,ZHA,2022/1/6 14:00,HO5894,2022/1/6,HO5894_2022-01-06,143
104,M585624427,D00000223,2022/1/6 1:11,2022/1/6 0:00,S,3keki-4ax8d-wuv32-043or-l81h4,WUX,ZHA,无锡,湛江,WUX,ZHA,2022/1/6 14:00,HO5894,2022/1/6,HO5894_2022-01-06,118
105,M4272671329,D00000283,2022/1/7 14:50,2022/1/7 0:00,S,z2o74-zfeff-y40h8-9jid2-inx6h,WUX,ZHA,无锡,湛江,WUX,ZHA,2022/1/6 14:00,HO5894,2022/1/6,HO5894_2022-01-06,95
106,M208146751,D00000128,2022/1/4 4:25,2022/1/4 0:00,R,1m73z-0wfr9-l0zlu-wifn2-uoebb,WUX,ZHA,无锡,湛江,WUX,ZHA,2022/1/6 14:00,HO5894,2022/1/6,HO5894_2022-01-06,87
107,M3034928867,D00000192,2022/1/5 14:40,2022/1/5 0:00,S,paf5x-4cb88-f9hoe-nyu2s-y0tvr,WUX,ZHA,无锡,湛江,WUX,ZHA,2022/1/6 14:00,HO5894,2022/1/6,HO5894_2022-01-06,90
108,M2553567889,D00000199,2022/1/5 16:52,2022/1/5 0:00,S,l7jrx-hqq30-k9bi1-y4b98-adxja,WUX,ZHA,无锡,湛江,WUX,ZHA,2022/1/6 14:00,HO5894,2022/1/6,HO5894_2022-01-06,111
109,M2976380990,D00000129,2022/1/4 5:42,2022/1/4 0:00,S,ygqzp-71049-usanz-swted-8jaod,WUX,ZHA,无锡,湛江,WUX,ZHA,2022/1/6 14:00,HO5894,2022/1/6,HO5894_2022-01-06,113
110,M2504247665,D00000078,2022/1/2 19:13,2022/1/2 0:00,S,se7v3-roq3v-nmmdz-zefvw-537xc,WUX,ZHA,无锡,湛江,WUX,ZHA,2022/1/6 14:00,HO5894,2022/1/6,HO5894_2022-01-06,62
